delivery_id,step,arc_id,u,v,length_km,risk,variable_cost,is_tunnel_edge,lat_u,lon_u,lat_v,lon_v
2,14,3970,2055689807,1702616130,0.039685,0.044212,0.042463,False,52.5173745,13.3838581,52.5177293,13.3837946
2,15,-1,1702616130,25664699,0.076022,0.131909,0.081343,False,52.5177293,13.3837946,52.5184085,13.3836662
2,16,-1,25664699,6400342991,0.220458,0.431599,0.23589,False,52.5184085,13.3836662,52.5181905,13.3804278
2,17,269043,6400342991,6400342990,0.013361,0.073568,0.014297,False,52.5181905,13.3804278,52.518071,13.3804485
2,18,217333,6400342990,5394001567,0.009429,0.044028,0.010089,False,52.518071,13.3804485,52.5180628,13.3803098
2,19,217331,5394001567,10889595198,0.002753,0.0444,0.002945,False,52.5180628,13.3803098,52.5180599,13.3802694
2,20,217329,10889595198,538810542,0.006131,0.044154,0.006561,False,52.5180599,13.3802694,52.5180589,13.3801788
2,21,217327,538810542,12077445802,0.126839,0.044748,0.135718,False,52.5180589,13.3801788,52.5179324,13.3783158
2,22,392023,12077445802,12077445807,0.059144,0.04512,0.063284,False,52.5179324,13.3783158,52.5178734,13.3774471
2,23,392021,12077445807,175652814,0.003025,0.045571,0.003237,False,52.5178734,13.3774471,52.5178693,13.3774029
2,24,160319,175652814,5824657591,0.014116,0.045342,0.015105,False,52.5178693,13.3774029,52.517834,13.3772025
2,25,160317,5824657591,5824657592,0.006886,0.045522,0.007368,False,52.517834,13.3772025,52.517809,13.3771094
2,26,160315,5824657592,1447899974,0.009883,0.045555,0.010574,False,52.517809,13.3771094,52.5177819,13.3769703
2,27,3649,1447899974,1348697004,0.009602,0.045645,0.010274,False,52.5177819,13.3769703,52.5177583,13.3768338
2,28,-1,1348697004,26870674,0.181743,1.056434,0.194465,False,52.5177583,13.3768338,52.5162649,13.3767058
2,29,-1,26870674,1342724020,0.465813,0.614636,0.49842,False,52.5162649,13.3767058,52.515827,13.3698596
2,30,-1,1342724020,21487173,1.285661,1.831977,1.375657,False,52.515827,13.3698596,52.5148203,13.3509947
2,31,303024,21487173,8977088994,0.005037,0.053268,0.005389,False,52.5148203,13.3509947,52.5148585,13.3509547
2,32,-1,8977088994,27011222,0.043282,0.264641,0.046311,False,52.5148585,13.3509547,52.5151008,13.3504668
2,33,-1,27011222,21487171,0.066931,0.419746,0.071617,False,52.5151008,13.3504668,52.5150436,13.3495172
2,34,-1,21487171,1337618621,0.047217,0.317416,0.050523,False,52.5150436,13.3495172,52.5147096,13.3491039
2,35,303025,1337618621,21487169,0.00486,0.053265,0.005201,False,52.5147096,13.3491039,52.5146676,13.349084
2,36,-1,21487169,27011311,0.763728,1.115971,0.817189,False,52.5146676,13.349084,52.5137394,13.3379838
2,37,-1,27011311,1999948493,0.147106,0.686649,0.157404,False,52.5137394,13.3379838,52.5135968,13.3358226
2,38,159680,1999948493,21677261,0.012236,0.062506,0.013093,False,52.5135968,13.3358226,52.5135851,13.3356428
2,39,-1,21677261,5194290241,0.274905,0.695203,0.294148,False,52.5135851,13.3356428,52.5133158,13.3316046
2,40,-1,5194290241,26704447,0.095558,0.394089,0.102247,False,52.5133158,13.3316046,52.5132222,13.3302009
2,41,-1,26704447,21487145,0.507377,1.290394,0.542894,False,52.5132222,13.3302009,52.5129021,13.3228117
2,42,-1,21487145,21487148,0.016581,0.157918,0.017742,False,52.5129021,13.3228117,52.5130228,13.3226683
2,43,-1,21487148,21487144,0.054239,0.556433,0.058036,False,52.5130228,13.3226683,52.5132003,13.321936
2,44,-1,21487144,251106770,0.022738,0.159359,0.02433,False,52.5132003,13.321936,52.5131843,13.3216014
2,45,-1,251106770,26727582,0.299809,1.467821,0.320796,False,52.5131843,13.3216014,52.5140527,13.3174346
2,46,-1,26727582,26727583,0.164202,0.716481,0.175696,False,52.5140527,13.3174346,52.5147264,13.3152758
2,47,329351,26727583,267620336,0.005845,0.057157,0.006254,False,52.5147264,13.3152758,52.5147486,13.3151975
2,48,-1,267620336,26727584,0.126191,0.400416,0.135024,False,52.5147486,13.3151975,52.5152716,13.3135427
2,49,-1,26727584,614419921,0.223114,0.711766,0.238732,False,52.5152716,13.3135427,52.516198,13.310618
2,50,293784,614419921,26938189,0.012253,0.071351,0.01311,False,52.516198,13.310618,52.5162489,13.3104574
2,51,-1,26938189,26784912,0.293521,1.104891,0.314067,False,52.5162489,13.3104574,52.517497,13.3066355
2,52,177420,26784912,26682524,0.015137,0.066233,0.016196,False,52.517497,13.3066355,52.5175593,13.3064366
2,53,-1,26682524,26727599,0.152947,0.542048,0.163653,False,52.5175593,13.3064366,52.5181757,13.304417
2,54,10459,26727599,26784927,0.018105,0.069026,0.019373,False,52.5181757,13.304417,52.5180132,13.3044339
2,55,7339,26784927,12887437539,0.008011,0.069414,0.008572,False,52.5180132,13.3044339,52.5179413,13.3044415
2,56,7341,12887437539,10002955554,0.00731,0.06946,0.007821,False,52.5179413,13.3044415,52.5178757,13.3044485
2,57,7343,10002955554,4276741249,0.003621,0.070356,0.003875,False,52.5178757,13.3044485,52.5178432,13.3044519
2,58,7345,4276741249,13047915227,0.001148,0.074294,0.001229,False,52.5178432,13.3044519,52.5178329,13.3044531
2,59,7347,13047915227,13047915216,0.03016,0.068721,0.032271,False,52.5178329,13.3044531,52.5175624,13.3044859
2,60,7349,13047915216,10002955557,0.018787,0.068719,0.020102,False,52.5175624,13.3044859,52.5173939,13.3045063
2,61,7351,10002955557,26784939,0.006411,0.069316,0.00686,False,52.5173939,13.3045063,52.5173364,13.3045133
2,62,261535,26784939,10004990329,0.007728,0.06911,0.008269,False,52.5173364,13.3045133,52.5172671,13.304522
2,63,261537,10004990329,13047915202,0.030288,0.068433,0.032408,False,52.5172671,13.304522,52.5169955,13.3045559
2,64,261539,13047915202,10004990340,0.036599,0.068251,0.039161,False,52.5169955,13.3045559,52.5166673,13.3045969
2,65,261541,10004990340,26784940,0.006312,0.068943,0.006754,False,52.5166673,13.3045969,52.5166107,13.304604
2,66,261543,26784940,10004990341,0.007475,0.068748,0.007999,False,52.5166107,13.304604,52.5165436,13.3046108
2,67,261545,10004990341,13047905398,0.019408,0.068166,0.020766,False,52.5165436,13.3046108,52.5163694,13.3046286
3,0,-1,1827996421,13334677280,0.379008,0.545571,0.379956,False,52.5200133,13.4049874,52.5221984,13.4092855
3,1,-1,13334677280,13907381360,0.025168,0.172592,0.025231,False,52.5221984,13.4092855,52.5223406,13.4095747
3,2,-1,13907381360,27411306,0.054431,0.220757,0.054567,False,52.5223406,13.4095747,52.5226495,13.4101981
3,3,-1,27411306,262469034,0.19154,0.701269,0.192019,False,52.5226495,13.4101981,52.5238926,13.4121513
3,4,164869,262469034,967017877,0.024129,0.048572,0.024189,False,52.5238926,13.4121513,52.524069,13.412359
3,5,-1,967017877,29123671,0.031369,0.14608,0.031448,False,52.524069,13.412359,52.5240274,13.4119004
3,6,-1,29123671,196741367,0.151315,0.713897,0.151694,False,52.5240274,13.4119004,52.5240533,13.4096737
3,7,104240,196741367,3837048413,0.009732,0.060789,0.009756,False,52.5240533,13.4096737,52.5241329,13.4097335
3,8,104238,3837048413,3837048414,0.00715,0.045803,0.007168,False,52.5241329,13.4097335,52.5241915,13.409777
3,9,104236,3837048414,1289731063,0.01179,0.045806,0.01182,False,52.5241915,13.409777,52.5242875,13.409851
3,10,104234,1289731063,12925994896,0.021162,0.046042,0.021215,False,52.5242875,13.409851,52.5244615,13.4099777
3,11,404565,12925994896,5451501378,0.002091,0.047754,0.002096,False,52.5244615,13.4099777,52.5244787,13.4099902
3,12,404563,5451501378,10201971104,0.003758,0.046998,0.003767,False,52.5244787,13.4099902,52.5245096,13.4100127
3,13,404561,10201971104,12925994895,0.0068,0.046659,0.006817,False,52.5245096,13.4100127,52.5245651,13.4100549
3,14,337601,12925994895,5451501377,0.011332,0.046637,0.01136,False,52.5245651,13.4100549,52.5246576,13.4101252
3,15,337599,5451501377,10760477364,0.006102,0.047042,0.006118,False,52.5246576,13.4101252,52.5247074,13.4101631
3,16,337597,10760477364,10760477361,0.098688,0.048237,0.098935,False,52.5247074,13.4101631,52.5255129,13.4107756
3,17,362400,10760477361,9830552393,0.039866,0.049015,0.039966,False,52.5255129,13.4107756,52.5258383,13.411023
3,18,362398,9830552393,29221562,0.005072,0.049775,0.005084,False,52.5258383,13.411023,52.5258798,13.4110541
3,19,250226,29221562,9828580196,0.006056,0.049758,0.006071,False,52.5258798,13.4110541,52.5259299,13.4110892
3,20,250224,9828580196,29221535,0.016772,0.049647,0.016814,False,52.5259299,13.4110892,52.5260677,13.41119
3,21,250222,29221535,10648227581,0.003661,0.050519,0.00367,False,52.5260677,13.41119,52.5261006,13.4111922
3,22,250220,10648227581,9828580199,0.001002,0.05335,0.001004,False,52.5261006,13.4111922,52.5261096,13.4111928
3,23,250218,9828580199,3730313048,0.004772,0.050323,0.004784,False,52.5261096,13.4111928,52.5261521,13.411183
